FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,theme,raw,value,key,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2503,25,relative,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,03","0,03","0,04","0,04","0,03","0,03","0,02","0,04","0,04","0,03","0,04","0,04"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2503,25,value,,,,,,,,,,,,,,,,,,,,,,,,,"236370,4613","89902,32193","89438,20184","136279,3186","134350,2602","107555,9454","97590,51811","63061,51106","113652,8716","136471,7115","98306,2195","139487,8875","110315,2375"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2603,26,relative,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,03","0,03","0,04","0,04","0,03","0,03","0,02","0,04","0,04","0,03","0,04"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2603,26,value,,,,,,,,,,,,,,,,,,,,,,,,,,"231866,3772","88407,00148","87446,01723","132713,6623","130909,6157","104599,5925","95102,22053","61561,88801","110982,735","134127,85","95837,75118","133470,2952"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2703,27,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,03","0,03","0,04","0,04","0,03","0,03","0,02","0,03","0,04","0,03"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2703,27,value,,,,,,,,,,,,,,,,,,,,,,,,,,,"228656,0071","86623,38009","85656,58376","128957,7341","127211,2134","102160,968","92940,48719","60105,51228","108679,9134","131614,3305","91315,03648"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2803,28,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,03","0,03","0,04","0,04","0,03","0,03","0,02","0,03","0,04"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2803,28,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,"224906,9015","85157,72821","83654,32336","124797,4592","124084,6286","100113,3215","90929,94523","58941,55102","106530,7696","126959,5222"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2903,29,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,03","0,03","0,04","0,04","0,03","0,03","0,02","0,03"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2903,29,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221936,1311","83489,09902","81964,41787","121468,4668","121390,089","97946,79302","89132,12922","57802,37313","102632,691"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3003,30,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,03","0,03","0,04","0,04","0,03","0,03","0,02"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3003,30,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"218740,0819","81515,42002","80468,01773","118738,6857","118664,8826","96051,38006","87283,99379","55609,63476"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3103,31,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,03","0,03","0,04","0,04","0,03","0,03"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3103,31,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"215616,9155","80166,65295","79148,99134","116217,7593","116476,8564","94088,64679","84170,49637"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3203,32,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,03","0,02","0,04","0,04","0,03"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3203,32,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"212788,7715","78761,54716","77750,54376","114113,7033","114152,1778","89686,18089"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3303,33,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,02","0,02","0,04","0,04"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3303,33,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"210176,9422","77523,17461","76561,83786","111802,2365","110685,6839"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3403,34,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,02","0,02","0,04"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3403,34,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"207520,1526","76421,945","75366,93035","108313,1006"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3503,35,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,02","0,02"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3503,35,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"205325,6296","75300,94084","73309,34608"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3603,36,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,02"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3603,36,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"201956,6837","73443,02692"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3703,37,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,06"
